# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
a 	阿	c=5 d=1 t=82805
a ben 	阿本	c=0 d=1.76214e-19 t=96130
a bi 	阿鼻	c=0 d=0.1 t=36335
a hu 	阿虎	c=0 d=1.49259e-07 t=96130
a li 	阿里	c=21 d=0.701173 t=96130
a li yun 	阿里雲	c=2 d=0.00941925 t=96130
a ni 	阿尼	c=0 d=0.1 t=81454
a nian 	阿卄	c=0 d=0.1 t=19679
a tou teng ti o 	啊頭疼題噢	c=1 d=1 t=57927
a yang 	阿阳	c=0 d=0.1 t=83249
a yi 	阿姨	c=1 d=1 t=27793
a yo 	啊唷	c=0 d=0.1 t=71582
ai 	唉	c=3 d=1 t=89786
ai 	愛	c=12 d=0.57695 t=96130
ai 	矮	c=3 d=1 t=88910
ai dang 	爱党	c=1 d=1 t=29406
ai guang 	爱逛	c=1 d=1 t=22684
ai hao 	愛好	c=3 d=0.000170803 t=96130
ai ni 	愛你	c=1 d=6.22838e-19 t=96130
ai ni zai 	愛你再	c=1 d=1 t=28386
ai qing 	愛情	c=5 d=1.50498e-15 t=96130
ai qing guan 	愛情觀	c=1 d=1 t=47605
ai ren 	爱人	c=1 d=1 t=47689
ai ya 	哎呀	c=1 d=1.76917e-06 t=96130
ai yi 	愛意	c=1 d=1 t=32098
ai yin si tan 	愛因斯坦	c=2 d=1 t=91309
ai zi 	愛滋	c=1 d=1 t=76609
an 	按	c=45 d=0.00100518 t=96130
an 	案	c=1 d=3.89951e-10 t=96130
an an jing jing 	安安静静	c=1 d=1 t=35445
an chu 	按出	c=1 d=1 t=41295
an chu 	暗處	c=1 d=1 t=41294
an di 	案底	c=1 d=1 t=31672
an ding 	安定	c=1 d=1 t=90584
an hang 	按行	c=1 d=1 t=86225
an hei 	暗黑	c=1 d=1 t=32443
an jian 	安檢	c=3 d=1 t=77524
an jian 	按鍵	c=2 d=1 t=90724
an jing 	安靜	c=1 d=1 t=38078
an ju 	安居	c=0 d=2.30004e-06 t=96130
an li 	安立	c=2 d=2.14454e-05 t=96130
an li 	案例	c=10 d=0.159327 t=96130
an li fen xi 	案例分析	c=1 d=1.16322e-14 t=96130
an ni 	安妮	c=1 d=1 t=23838
an niu 	按扭	c=13 d=3.77268e-05 t=96130
an pai 	安排	c=7 d=1.81834e-05 t=96130
an quan 	安全	c=8 d=1 t=91543
an quan gan 	安全感	c=2 d=1 t=78223
an shi 	暗示	c=5 d=1 t=74960
an wan 	按完	c=1 d=1 t=76123
an wei 	安慰	c=3 d=3.70353e-21 t=96130
an xia 	按下	c=2 d=1 t=57026
an xian 	暗線	c=1 d=1 t=59147
an xin 	安心	c=1 d=2.77697e-16 t=96130
an xin 	安新	c=1 d=2.76312e-16 t=96130
an yi 	安逸	c=2 d=0.375311 t=96130
an zhao 	按照	c=10 d=1 t=92581
